BIOL110-01,Cell Biology,30443,"Vicars,H.M.",ClassroomUnit 001,TuTh 09:50AM-11:25AM
BIOL111A-01,Immunology I,31079,"Carpenter,S.",Thim Lecture 001,TuTh 01:30PM-03:05PM
BIOL115-01,Eukaryotc Molec Bio,31078,"Boeger,H.H.",J Baskin Engr 152,TuTh 03:20PM-04:55PM
BIOL115L-01,Eukaryotc Molec Lab,31141,"Kreher,J.E.",Thimann Lab 215,TuTh 01:00PM-05:00PM
BIOL118-01,Human Genetics,31077,"Morozova,O.",Thim Lecture 001,MWF 01:20PM-02:25PM
BIOL122K-01,Phage Biology Lab I,45387,"Shanks,J.A.",Thimann Lab 203,MWF 03:30PM-06:30PM
BIOL125-01,Intro to Neurosci,31076,"Kim,E.",J Baskin Engr 152,TuTh 01:30PM-03:05PM
BIOL126-01,Neural Plasticity,31075,"Zuo,Y.",Kresge Clrm 327,TuTh 09:50AM-11:25AM
BIOL129C-01,Adv Nerv Sys Disorders,30944,"Feldheim,D.A.",Earth&Marine B210,TuTh 03:20PM-04:55PM
BIOL129L-01,Neurobiology Lab,30943,"Lee,J.C.",Thimann Lab 203,TuTh 02:00PM-05:00PM
BIOL130-01,Human Physiology,31074,"Gurun,G.J.",Sci & Engr Library 206,TuTh 03:20PM-04:55PM
BIOL130L-01,Human Physiology Lab,30942,"Gurun,G.J.",,TBD
BIOL186F-01,Undergrad Rsrch:MCDB,30941,"Kellogg,D.",Sinsheimer Lb 123,Tu 01:30PM-03:05PM
BIOL186L-01,Undergrad Rsrch MCD,30940,"Kellogg,D.",Sinsheimer Lb 123,Tu 01:30PM-03:05PM
BIOL186R-01,UG Research: MCD Bio,30939,"Kellogg,D.",Sinsheimer Lb 123,Tu 01:30PM-03:05PM
BIOL189-01,Health Sci Intrnshp,30938,"Doody,M.J.",,TBD
BIOL189W-01,Human Biology DC,30937,"Doody,M.J.",PhysSciences 136,M 04:00PM-05:05PM
BIOL200F-01,Logic Sci Discovery,30936,"Sharma,U.",,TBD
BIOL226-01,Adv Molec Neurosci,30935,"Zuo,Y.",Kresge Clrm 327,TuTh 09:50AM-11:25AM
BIOL230-01,Grant Writing Bio Sci,30934,"Carpenter,S.",, 200
BIOL280A-01,Molec Gene Yeasts,30933,"Ares,M.",,TBD
BIOL280B-01,Chromatin Structure,30932,"Boeger,H.H.",,TBD
BIOL280C-01,Mammalian Brain Dev,30931,"Chen,B.",,TBD
BIOL280D-01,RNA Processing,30930,"Zahler,A.M.",,TBD
BIOL280E-01,Meiotic Chrom Dynms,30928,"Bhalla,N.",,TBD
BIOL280F-01,Vert Neural Connect,30927,"Feldheim,D.A.",,TBD
BIOL280G-01,Mole Mech Behavior Dev,45268,"Ackman,J.",,TBD
BIOL280H-01,Chromatn/Transcript,30925,"Hartzog,G.A.",,TBD
BIOL280I-01,EpigeneticGeneSilenc,30924,"Kamakaka,R.T.",,TBD
BIOL280J-01,Macromoleculr Cmplx,30923,"Jurica,M.S.",,TBD
BIOL280K-01,Cell Cycle Research,30922,"Kellogg,D.",,TBD
BIOL280L-01,Development,30921,"Hinck,L.",,TBD
BIOL280M-01,Post-Trans Control,30920,"Sanford,J.R.",,TBD
BIOL280N-01,Noncoding RNA Immune,30919,"Carpenter,S.",,TBD
BIOL280O-01,Cell type comp neural,30567,"Turner-Evans,D.B.",,TBD
BIOL280P-01,QualityCtrl Gene Exp,30918,"Arribere,J.A.",,TBD
BIOL280Q-01,Telomeres and Telomera,45267,"Greider,C.",,TBD
BIOL280R-01,Gene reg C. elegans,30916,"Ward,J.",,TBD
BIOL280S-01,Stem Cell Genomics,45509,"Salama,S.R.",,TBD
BIOL280T-01,Cancer Stem Cell Biolo,45269,"Sikandar,S.",,TBD
BIOL280U-01,Drosophila Embryo,30914,"Sullivan,W.",,TBD
BIOL280V-01,Translational pediatri,30913,"Morozova,O.",,TBD
BIOL280W-01,Gen ID of Neural Circ,30912,"Kim,E.",,TBD
BIOL280X-01,RNA-mediated epigeneti,30911,"Sharma,U.",,TBD
BIOL280Y-01,Synaptic Plasticity,30910,"Zuo,Y.",,TBD
BIOL280Z-01,ProstaDev&CancerBio,30909,"Wang,Z.",,TBD
BIOL281A-01,Host Viral Infections,30566,"Boyd,D.F.",,TBD
BIOL281B-01,Mucosal Immun/Microbio,30565,"Cortez,V.C.",,TBD
BIOL289-01,Practice of Science,31204,"Morozova,O.",, 300
BIOL291-01,Mol Cell Devel Bio,30908,"Turner-Evans,D.B.",N. Sci Annex 101,M 12:00PM-01:05PM
BIOL292-01,MCD Seminar,30907,"Turner-Evans,D.B.",N. Sci Annex 101,F 12:00PM-01:05PM
BME5-01,Intro to Biotech,31229,"Pourmand,N.",Soc Sci 2 075,MWF 02:40PM-03:45PM
BME21L-01,Intro to Basic Lab,32353,"Hendricks,D.G.",J Baskin Engr 301B,Tu 01:30PM-04:30PM
